person,gain,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
0,0.9,2.907871054665915,0.47833333333333333,0.0002943179391690563,0.977525146794154,0.5368587622135685,0.0,0.0,2.1317187261007455,0.0,0.0,0
0,1.05,1.5687092592689205,0.4776666666666667,0.000250521177159436,0.9725903303308676,0.5430625874810426,0.0,0.0,1.1153163685516332,0.0,0.0,0
0,1.2,1.0111464335085274,0.6176666666666667,0.0002787714435937697,0.9630982658698314,0.5481234843981576,0.0,0.0,0.7902508552745807,0.0,0.0,0
0,1.35,0.8283110068970171,0.7946666666666666,0.0003532622306174808,0.952094705071308,0.5509134192284594,0.0,0.0,0.8127676826123412,0.0,0.0,0
0,1.5,1.087832280336921,0.6456666666666667,0.00047785362267966774,0.9393663828323846,0.5508163401309117,0.0,0.0,1.2799778264318327,0.0,0.0,0
0,1.65,2.3627139837512545,0.5416666666666666,0.00067900722099619,0.9230512409971096,0.5480379950004332,0.0,0.0,2.7543585549864336,0.0,0.0,0
0,1.7999999999999998,6.209403107113896,0.5173333333333333,0.0010207222450279406,0.8938822868187576,0.543665620375195,0.018625,0.0,6.718714136508724,0.0,0.0,0
0,1.9500000000000002,15.916781391905602,0.5216666666666666,0.0016282178704781032,0.8674762011168496,0.5422303962467364,0.11491666666666667,0.0,16.446499568796863,0.0,0.0,0
0,2.1,34.97210807114027,0.5216666666666666,0.0026657323161708058,0.8660378307918963,0.5539658862658445,0.11664583333333334,0.0,36.04809096627345,0.0,0.0,0
0,2.25,59.382953287389284,0.5216666666666666,0.004010892869947143,0.865721420805838,0.5721551954800794,0.11879166666666667,0.0,61.82068908099309,0.0,0.0,0
0,2.4,81.51203434946684,0.5216666666666666,0.00529006654308823,0.8703973782809894,0.5678585565682952,0.12747916666666667,0.0,85.1433030864645,0.0,0.0,0
1,0.9,62.11352035935623,0.47833333333333333,0.0007627157528412469,0.9814881063519072,0.5261888100783677,0.0,0.0,58.59264847332268,0.0,0.0,0
1,1.05,35.87598290393164,0.47833333333333333,0.000477999169228758,0.9786740778197004,0.5269782949303954,0.0,0.0,33.39282551384126,0.0,0.0,0
1,1.2,17.90243185227843,0.47833333333333333,0.00032011377560867593,0.9769047828681402,0.5262641289447417,0.0,0.0,16.340012553422085,0.0,0.0,0
1,1.35,5.434775509380391,0.47833333333333333,0.0002476011301485286,0.9725428604167448,0.5237172361464718,0.0,0.0,4.734828405475086,0.0,0.0,0
1,1.5,0.5461694971891479,0.8486666666666667,0.0002719425782826181,0.9659970073784508,0.5194639916161286,0.00020833333333333335,0.0,0.6218375731733887,0.0,0.0,0
1,1.65,8.499214853837609,0.5216666666666666,0.00043265233852902524,0.9584582588629392,0.5143110965444263,0.10997916666666667,0.0,9.256749615746598,0.0,0.0,0
1,1.7999999999999998,32.988398071954855,0.5216666666666666,0.0007527780531825161,0.9549241640641846,0.5092740719543977,0.11716666666666667,0.0,34.50385588789834,0.0,0.0,0
1,1.9500000000000002,70.11018191538223,0.5216666666666666,0.0011880948802681012,0.9484310394658704,0.5047809405062716,0.11833333333333333,0.0,72.64966647854057,0.0,0.0,0
1,2.1,110.83580828754468,0.5216666666666666,0.0016560823436097016,0.9418854752231591,0.5004189713840868,0.1538125,0.0,114.58113831046504,0.0,0.0,0
1,2.25,148.27133992134566,0.5216666666666666,0.0021064902748293866,0.9444948083249478,0.49376366851861647,0.769125,0.0,153.22859218557366,0.0,0.0,0
1,2.4,179.63010430285024,0.5216666666666666,0.0025348269631803233,0.9550282958365587,0.4845014210693905,0.8722916666666667,0.0,185.71686247649978,0.0,0.0,0
2,0.9,20.722415776114847,0.47833333333333333,0.0003919232724142656,0.9827314332533862,0.5298204425227685,0.0,0.0,18.378558171926628,0.0,0.0,0
2,1.05,10.872161614129181,0.47833333333333333,0.0002534251884345578,0.980253098743362,0.5316450117704133,0.0,0.0,9.274814614720242,0.0,0.0,0
2,1.2,4.867556919756024,0.47833333333333333,0.00021083936957324846,0.9759352886912346,0.5321189416293632,0.0,0.0,3.9207002227687457,0.0,0.0,0
2,1.35,1.3033726213170507,0.529,0.00023598415658771766,0.9724131631054348,0.530690299784936,0.0,0.0,1.0042829475897042,0.0,0.0,0
2,1.5,1.1319956864106133,0.5943333333333334,0.00034346927366629357,0.9659262120079759,0.5271601390788506,0.0,0.0,1.5033808841996266,0.0,0.0,0
2,1.65,7.566669722670655,0.5216666666666666,0.000579908285785561,0.9596785118560263,0.5221091592154581,0.02420833333333333,0.0,8.608864510068035,0.0,0.0,0
2,1.7999999999999998,24.959626062888855,0.5216666666666666,0.001001481486056074,0.9517374429330233,0.516952022840938,0.11602083333333334,0.0,26.705282043325344,0.0,0.0,0
2,1.9500000000000002,54.05595679560498,0.5216666666666666,0.0016024386431976226,0.9381882327201464,0.5128081848205294,0.1175625,0.0,56.70270807316258,0.0,0.0,0
2,2.1,88.90881857361819,0.5216666666666666,0.0022774098107733415,0.9303815974060152,0.5096795413470908,0.11847916666666666,0.0,92.65137776091959,0.0,0.0,0
2,2.25,122.41199088467623,0.5216666666666666,0.0029156571905479983,0.9196064656217021,0.5083787708835681,0.18579166666666666,0.0,127.22176916692084,0.0,0.0,0
2,2.4,151.05438437362756,0.5216666666666666,0.003480413187037972,0.9028913998480577,0.5103080523541683,0.7600416666666666,0.0,156.78663011910527,0.0,0.0,0
3,0.9,114.59503330303004,0.47833333333333333,0.0012665221141034944,0.9827340554593754,0.5282140957805217,0.0,0.0,108.82924372554423,0.0,0.0,0
3,1.05,78.48702301086483,0.47833333333333333,0.0008739788016035218,0.982100213582232,0.5282759586239281,0.0,0.0,73.85670742676331,0.0,0.0,0
3,1.2,51.48389083449506,0.47833333333333333,0.0006099946561919555,0.9789748926085585,0.526948725706313,0.0,0.0,47.90455350432733,0.0,0.0,0
3,1.35,28.701692628725908,0.47833333333333333,0.00041400744748972337,0.9769259942031266,0.5239714786822803,0.0,0.0,26.208864407455046,0.0,0.0,0
3,1.5,10.351208383020268,0.47833333333333333,0.0002816679459784065,0.9736923647875633,0.5194062075142081,0.0,0.0,9.000080008547666,0.0,0.0,0
3,1.65,0.8239617796197602,0.7566666666666667,0.00024641612343632356,0.9696998376880689,0.5137884903372626,0.06752083333333334,0.0,0.6133046918911848,0.0,0.0,0
