scenario,person,seed,arm,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
nominal,0,100,sham,43.29959274309368,0.421,0.0028519221851060765,0.9468242989358749,0.16867040841298847,0.042125,0.0,0.8615112716558987,0.0,0.0,0
nominal,0,100,fixed,41.93750814489643,0.421,0.002870242714620702,0.9550227339368499,0.16991002886414197,0.0568125,0.04000000000000002,0.8602095831870757,0.0,0.0,0
nominal,0,100,rate,32.98921969789279,0.42133333333333334,0.00210849316737744,0.9440349637419114,0.21828987084474283,0.004958333333333334,0.028360062304084433,0.8615111585559904,0.0,0.0,0
nominal,0,100,entropy,31.149358938542,0.42133333333333334,0.00193008374627407,0.9439597366530431,0.23504106573815503,0.0005208333333333333,0.07422552442926021,0.8615110516340079,0.0,0.0,0
nominal,0,100,combined,29.86226214677396,0.42133333333333334,0.0018705943318510423,0.9433046008973563,0.23920225039211412,0.0008541666666666667,0.05455876231627589,0.8615111823036876,0.0,0.0,0
nominal,1,100,sham,123.75723586132607,0.421,0.0017837130865078561,0.9545338002393732,0.1824677329029182,0.06179166666666667,0.0,0.5429660383346017,0.0,0.0,0
nominal,1,100,fixed,88.44959764043027,0.581,0.0016457223348369547,0.9677811673246611,0.21619858400722297,0.4344375,0.1600000000000001,1.0299725948820322,0.0,0.0,0
nominal,1,100,rate,89.76633627904489,0.42133333333333334,0.0013775767650115046,0.9549661525475834,0.23130934804151967,0.06091666666666667,0.018691852136291227,0.5429660377125658,0.0,0.0,0
nominal,1,100,entropy,88.81717596064814,0.4216666666666667,0.001245781541501669,0.9543856974227916,0.27065233763013746,0.059583333333333335,0.07684552677882774,0.5429660363875034,0.0,0.0,0
nominal,1,100,combined,79.57201301147917,0.4216666666666667,0.0012239469932791005,0.9541314129403873,0.26169213447784057,0.059145833333333335,0.04271105153462506,0.5429660377275284,0.0,0.0,0
nominal,2,100,sham,131.93431620700676,0.421,0.003097989078225589,0.9574590280770708,0.15254569154077877,0.07064583333333334,0.0,0.6120438719833285,0.0,0.0,0
nominal,2,100,fixed,93.1129900951472,0.42,0.002680093156279149,0.9638642507948774,0.16723042948003827,0.434625,0.1600000000000001,1.0147783110980069,0.0,0.0,0
nominal,2,100,rate,99.2095144062375,0.42133333333333334,0.0024359403197002287,0.9474164018689345,0.19398431915714306,0.0653125,0.03340868076082696,0.6120438448013822,0.0,0.0,0
nominal,2,100,entropy,108.07108560990274,0.42133333333333334,0.0024968018175108493,0.9463055333436102,0.19635318950371713,0.059270833333333335,0.0774279633823512,0.6155820977768937,0.0,0.0,0
nominal,2,100,combined,91.83916498371501,0.42133333333333334,0.0022558283135826287,0.9478009881014563,0.21447232468485694,0.059375,0.0643744444412438,0.6120438295757922,0.0,0.0,0
nominal,3,100,sham,327.8346470671569,0.5796666666666667,0.004381153362184284,0.9539192254261109,0.19079735677629175,0.07845833333333334,0.0,0.5420022192028371,0.0,0.0,0
nominal,3,100,fixed,88.85925643617259,0.5776666666666667,0.0017694813565679657,0.9706439335264979,0.23061748108138105,0.4537291666666667,0.3599999999999999,3.898214059612669,0.0,0.0,0
nominal,3,100,rate,185.41924129050912,0.5793333333333334,0.0027574603693865567,0.9509374586828798,0.23524278940923302,0.09929166666666667,0.03581381658183486,0.5421367232850718,0.0,0.0,0
nominal,3,100,entropy,199.49297508332165,0.5796666666666667,0.0029070026162234027,0.9463398575817561,0.2617899652412828,0.1024375,0.0515467590608152,0.5420022046310011,0.0,0.0,0
