person,dt,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
0,0.002,30.41349074691663,0.49966666666666665,0.0022439785717917183,0.9396774423450462,0.26903730395790204,0.0124375,0.04578010484090855,0.7301908659740314,0.0,0.0,0
0,0.001,30.714572536081377,0.462,0.00216055747539435,0.9392845404079043,0.29175809987195955,0.003125,0.052073921410421053,0.6716795353906295,0.0,0.0,0
1,0.002,81.54927696234978,0.49966666666666665,0.00150882860812787,0.9605805808509729,0.2841337162772825,0.06370833333333334,0.03773432172836988,0.5375082119403201,0.0,0.0,0
1,0.001,87.81433705265233,0.462,0.0015358564757234898,0.9572465525906797,0.30303054817809255,0.0508125,0.03599180248660656,0.44341934546601264,0.0,0.0,0
2,0.002,95.64821406427846,0.49966666666666665,0.0026197067236789886,0.9560175828245459,0.23898816592662295,0.07141666666666667,0.05536989783761569,0.653798629134519,0.0,0.0,0
2,0.001,95.77109848124078,0.462,0.0025652990819812656,0.9459575319953857,0.24817455014547612,0.050854166666666666,0.06199727180666733,0.6133446706037445,0.0,0.0,0
3,0.002,169.96924558326472,0.501,0.002477633634690853,0.9543908555840654,0.23150260819376126,0.1028125,0.05707075302037302,0.5268391270007107,0.0,0.0,0
3,0.001,182.04133536071578,0.537,0.002746054831647753,0.954584227149745,0.22012289375093608,0.0580625,0.05161504411448984,0.36212520741649235,0.0,0.0,0
4,0.002,172.06795505652784,0.49966666666666665,0.0023369243913331315,0.9549585993394832,0.25065848991111045,0.248875,0.04682698864288309,0.5459380337720974,0.0,0.0,0
4,0.001,168.1131993585702,0.462,0.00225797738933887,0.9483844363956188,0.2667255564937048,0.21695833333333334,0.05480282207949427,0.48940005227869504,0.0,0.0,0
5,0.002,53.173630287868725,0.49966666666666665,0.001372452570841733,0.9616506615053865,0.27933873461644676,0.017458333333333333,0.026235078853633322,0.6755469989293704,0.0,0.0,0
5,0.001,52.193880151887505,0.462,0.0012812341433599982,0.9613177689980517,0.30570491098260943,0.005,0.028853301989341693,0.5803424866296779,0.0,0.0,0
