person,rep,original,surrogate
0,0,0.971210104707177,0.8537101976344519
0,1,0.971210104707177,0.8578385139192014
0,2,0.971210104707177,0.8446393611232197
0,3,0.971210104707177,0.8465005664590645
0,4,0.971210104707177,0.8542304224060147
0,5,0.971210104707177,0.8409029098419534
0,6,0.971210104707177,0.8366629231614918
0,7,0.971210104707177,0.8542209448093661
0,8,0.971210104707177,0.847002614075741
0,9,0.971210104707177,0.8410092022319854
0,10,0.971210104707177,0.8431545348149545
0,11,0.971210104707177,0.8566909654373414
0,12,0.971210104707177,0.85235566444803
0,13,0.971210104707177,0.846298055049189
0,14,0.971210104707177,0.8446782356686134
0,15,0.971210104707177,0.847390429856766
0,16,0.971210104707177,0.837094460895413
0,17,0.971210104707177,0.8595994523925572
0,18,0.971210104707177,0.8547389923548198
0,19,0.971210104707177,0.8523405543537583
0,20,0.971210104707177,0.8411284098903941
0,21,0.971210104707177,0.8469289059286744
0,22,0.971210104707177,0.8481779931260164
0,23,0.971210104707177,0.8564552102400534
0,24,0.971210104707177,0.8505592514495133
0,25,0.971210104707177,0.8470634983543464
0,26,0.971210104707177,0.8338447316960257
0,27,0.971210104707177,0.8433181188401152
0,28,0.971210104707177,0.8525357755288677
0,29,0.971210104707177,0.8516419073621414
0,30,0.971210104707177,0.8574279818442598
0,31,0.971210104707177,0.8490401311470581
0,32,0.971210104707177,0.8452242626463625
0,33,0.971210104707177,0.8624958114870092
0,34,0.971210104707177,0.8556323201577858
0,35,0.971210104707177,0.8493399928314471
0,36,0.971210104707177,0.8548509362082171
0,37,0.971210104707177,0.8503787374968751
0,38,0.971210104707177,0.8417422303579374
0,39,0.971210104707177,0.852058124828172
1,0,0.9838420907817021,0.8826817898016199
1,1,0.9838420907817021,0.8808775577326564
1,2,0.9838420907817021,0.878958030611465
1,3,0.9838420907817021,0.8672703250181474
1,4,0.9838420907817021,0.8739231455552433
1,5,0.9838420907817021,0.8650651371530833
1,6,0.9838420907817021,0.8779261485868693
1,7,0.9838420907817021,0.8754562630915099
1,8,0.9838420907817021,0.880428861819948
1,9,0.9838420907817021,0.8710414932316841
1,10,0.9838420907817021,0.8627090793376139
1,11,0.9838420907817021,0.8793474865891661
1,12,0.9838420907817021,0.865977784056315
1,13,0.9838420907817021,0.876684442219575
1,14,0.9838420907817021,0.8738509535699474
1,15,0.9838420907817021,0.8691764547574067
1,16,0.9838420907817021,0.8640194942878827
1,17,0.9838420907817021,0.8726671349822374
1,18,0.9838420907817021,0.866940146571325
1,19,0.9838420907817021,0.8703198236018774
1,20,0.9838420907817021,0.8773032945304176
1,21,0.9838420907817021,0.8634285466065763
1,22,0.9838420907817021,0.8753986302472563
1,23,0.9838420907817021,0.8754337460177108
1,24,0.9838420907817021,0.8731856467915238
1,25,0.9838420907817021,0.8718029092607296
1,26,0.9838420907817021,0.8682574100314475
1,27,0.9838420907817021,0.8836691479474943
1,28,0.9838420907817021,0.8675052093023514
1,29,0.9838420907817021,0.8687698701034245
1,30,0.9838420907817021,0.8636447750875991
1,31,0.9838420907817021,0.8748150936631935
1,32,0.9838420907817021,0.883945738701499
1,33,0.9838420907817021,0.8741193876343251
1,34,0.9838420907817021,0.8678112356505737
1,35,0.9838420907817021,0.8880030096235538
1,36,0.9838420907817021,0.8779660632719016
1,37,0.9838420907817021,0.8744352355998305
1,38,0.9838420907817021,0.8781839706748303
1,39,0.9838420907817021,0.8733006060090565
2,0,0.97781161505987,0.8670996658351107
2,1,0.97781161505987,0.867140138718067
2,2,0.97781161505987,0.8564923759265279
2,3,0.97781161505987,0.8678172014872626
2,4,0.97781161505987,0.8632799279096072
2,5,0.97781161505987,0.8691929074897566
2,6,0.97781161505987,0.8653743957239988
2,7,0.97781161505987,0.872130574320225
2,8,0.97781161505987,0.8691611198515483
2,9,0.97781161505987,0.8638080683798675
2,10,0.97781161505987,0.8727667894484858
2,11,0.97781161505987,0.8747314441587436
2,12,0.97781161505987,0.8685547716149266
2,13,0.97781161505987,0.8682666639132245
2,14,0.97781161505987,0.8658303099766913
2,15,0.97781161505987,0.8634123324441528
2,16,0.97781161505987,0.8667245004316931
2,17,0.97781161505987,0.8706434684104138
2,18,0.97781161505987,0.8631776530085027
2,19,0.97781161505987,0.8661599874297179
2,20,0.97781161505987,0.8727814217830605
2,21,0.97781161505987,0.8818294672310563
2,22,0.97781161505987,0.8714623398395767
2,23,0.97781161505987,0.8637848337894117
